出版社,冊次,課次,Label,GCS 連結,GitHub Pages 連結
翰林,B3,U5,HL_B3_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U5
翰林,B3,U6,HL_B3_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B3_U6
翰林,B4,U1,HL_B4_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U1
翰林,B4,U2,HL_B4_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U2
翰林,B4,U3,HL_B4_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U3
翰林,B4,U4,HL_B4_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U4
翰林,B4,U5,HL_B4_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U5
翰林,B4,U6,HL_B4_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B4_U6
翰林,B5,U1,HL_B5_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U1
翰林,B5,U2,HL_B5_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U2
翰林,B5,U3,HL_B5_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U3
翰林,B5,U4,HL_B5_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U4
翰林,B5,U5,HL_B5_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U5
翰林,B5,U6,HL_B5_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B5_U6
翰林,B6,CU,HL_B6_CU,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_CU#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B6_CU
翰林,B6,U1,HL_B6_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B6_U1
翰林,B6,U2,HL_B6_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B6_U2
翰林,B6,U3,HL_B6_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=HL_B6_U3
